EventID,Proyek,Sumber Lead,Tanggal,Hari Ke,Target Lead Harian,Leads Didapat,Cumulative Leads,Achievement %
EV-20260101-PATI-05,PATI,Promo DP 1 Juta & UTJ 250 Ribu,"Minggu, 25 Januari 2026",25,,0,4,
EV-20260101-PATI-05,PATI,Promo DP 1 Juta & UTJ 250 Ribu,"Senin, 26 Januari 2026",26,,0,4,
EV-20260101-PATI-05,PATI,Promo DP 1 Juta & UTJ 250 Ribu,"Selasa, 27 Januari 2026",27,,0,4,
EV-20260101-PATI-05,PATI,Promo DP 1 Juta & UTJ 250 Ribu,"Rabu, 28 Januari 2026",28,,0,4,
EV-20260101-PATI-05,PATI,Promo DP 1 Juta & UTJ 250 Ribu,"Kamis, 29 Januari 2026",29,,0,4,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Senin, 26 Januari 2026",26,,1,1,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Selasa, 27 Januari 2026",27,,1,2,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Rabu, 28 Januari 2026",28,,1,3,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Kamis, 29 Januari 2026",29,,0,3,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Jumat, 30 Januari 2026",30,,0,4,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Selasa, 06 Januari 2026",6,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Rabu, 07 Januari 2026",7,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Kamis, 08 Januari 2026",8,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Jumat, 09 Januari 2026",9,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Sabtu, 10 Januari 2026",10,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Minggu, 11 Januari 2026",11,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Senin, 12 Januari 2026",12,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Selasa, 13 Januari 2026",13,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Rabu, 14 Januari 2026",14,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Kamis, 15 Januari 2026",15,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Jumat, 16 Januari 2026",16,,0,0,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Sabtu, 17 Januari 2026",17,,0,0,
